Item1,Item2
584,79969923.840000004
585,79969986.175999999
586,79970048.832000002
587,79970111.296000004
588,79970173.708800003
589,79970236.185599998
590,79970298.816
591,79970361.676799998
592,79970423.859200001
593,79970486.246399999
594,79970548.736000001
595,79970611.276800007
596,79970673.817599997
597,79970736.396799996
598,79970798.732800007
599,79970861.516800001
600,79970923.788800001
601,79970986.380800009
602,79971048.960000008
603,79971111.500799999
604,79971173.785600007
605,79971236.480000004
606,79971298.918400005
607,79971361.497600004
608,79971423.846400008
609,79971486.374400005
610,79971549.030400008
611,79971611.366400003
612,79971674.048000008
613,79971736.524800003
614,79971798.886399999
615,79971861.439999998
616,79971924.121600002
617,79971986.585600004
618,79972048.908800006
619,79972111.42400001
620,79972174.131200001
621,79972236.454400003
622,79972299.046400011
623,79972361.5616
624,79972423.961600006
625,79972486.464000002
626,79972548.991999999
627,79972611.443200007
628,79972674.124799997
629,79972736.499200001
630,79972798.988800004
631,79972861.465599999
632,79972923.980800003
633,79972986.6752
634,79973049.049600005
635,79973111.680000007
636,79973174.220799997
637,79973236.697600007
638,79973299.046400011
639,79973361.740800008
640,79973424.089599997
641,79973486.656000003
642,79973549.299199998
643,79973611.776000008
644,79973674.2016
645,79973736.576000005
646,79973799.11680001
647,79973861.580799997
648,79973924.096000001
649,79973986.636800006
650,79974049.177600011
651,79974111.718400002
652,79974174.233600006
653,79974236.646400005
654,79974299.212800011
655,79974361.676799998
656,79974424.230400011
657,79974486.7456
658,79974549.22240001
659,79974611.686400011
660,79974674.419200003
661,79974736.857600003
662,79974799.283200011
663,79974861.734400004
664,79974924.224000007
665,79974986.816
666,79975049.241600007
667,79975111.923200011
668,79975174.489600003
669,79975236.91520001
670,79975299.468800008
671,79975361.753600001
672,79975424.396799996
673,79975486.784000009
674,79975549.504000008
675,79975611.840000004
676,79975674.316799998
677,79975736.98560001
678,79975799.321600005
679,79975862.028800011
680,79975924.480000004
681,79975986.892800003
682,79976049.395199999
683,79976111.910400003
684,79976174.400000006
685,79976236.876800001
686,79976299.392000005
687,79976362.0352
688,79976424.396799996
689,79976486.963200003
690,79976549.516800001
691,79976612.121600002
692,79976674.457599998
693,79976737.011200011
694,79976799.603200004
695,79976861.977600008
696,79976924.672000006
697,79976987.699200004
698,79977049.472000003
699,79977112.025600001
700,79977174.719999999
701,79977236.991999999
702,79977299.673600003
703,79977362.188800007
704,79977424.576000005
705,79977486.988800004
706,79977549.619200006
707,79977612.185599998
708,79977674.764799997
709,79977737.049600005
710,79977799.756800011
711,79977862.246399999
712,79977924.684799999
713,79977987.110400006
714,79978049.728
715,79978112.281599998
716,79978174.771200001
717,79978237.107199997
718,79978299.622400001
719,79978362.304000005
720,79978424.7808
721,79978487.296000004
722,79978549.683200002
