FrameCounter,SystemTimestamp,LedState,Timestamp,Region0R,Region1G
143,2579.518016,0,78198982.1,0.003921569,0.003921569
144,2579.580512,0,78199042.11,0.003921569,0.003921569
145,2579.643008,2,78199112.1,0.010093957,0.027520221
146,2579.705504,1,78199172.11,0.021368825,0.01849326
147,2579.768,0,78199232.1,0.003921569,0.003921569
148,2579.830528,0,78199292.1,0.003921569,0.003921569
149,2579.892992,0,78199362.11,0.003868574,0.003921569
150,2579.95552,0,78199422.11,0.003921569,0.003921569
151,2580.018016,0,78199482.11,0.003921569,0.003921569
152,2580.080512,0,78199542.11,0.003921569,0.003921569
153,2580.143008,0,78199612.12,0.003921569,0.003921569
154,2580.205504,0,78199672.1,0.003921569,0.003921569
155,2580.268,0,78199732.1,0.003923001,0.003921569
156,2580.330528,0,78199792.12,0.003921569,0.003921569
157,2580.392992,0,78199862.12,0.003921569,0.003921569
158,2580.45552,0,78199922.1,0.003921569,0.003921569
159,2580.518016,0,78199982.11,0.003868574,0.003921569
160,2580.580512,0,78200042.12,0.003921569,0.003921569
161,2580.643008,2,78200112.11,0.010106132,0.02755576
162,2580.705504,1,78200172.12,0.021413942,0.018595588
163,2580.768,0,78200232.12,0.003921569,0.003921569
164,2580.830496,0,78200292.12,0.003921569,0.003921569
165,2580.893024,0,78200362.12,0.003921569,0.003921569
166,2580.95552,0,78200422.12,0.003921569,0.003921569
167,2581.018016,0,78200482.12,0.003921569,0.003921569
168,2581.080512,0,78200542.13,0.003921569,0.003921569
169,2581.143008,0,78200612.13,0.003868574,0.003921569
170,2581.205504,0,78200672.12,0.003921569,0.003921569
171,2581.268,0,78200732.12,0.003922285,0.003921569
172,2581.330528,0,78200792.12,0.003921569,0.003921569
173,2581.393024,0,78200862.12,0.003921569,0.003921569
174,2581.45552,0,78200922.12,0.003921569,0.003921569
175,2581.518016,0,78200982.13,0.003921569,0.003921569
176,2581.580512,0,78201042.13,0.003921569,0.003921569
177,2581.643008,2,78201112.13,0.010105415,0.027579044
178,2581.705504,1,78201172.12,0.021439723,0.018580882
179,2581.768,0,78201232.12,0.003868574,0.003921569
180,2581.830528,0,78201292.14,0.003921569,0.003921569
181,2581.893024,0,78201362.14,0.003921569,0.003921569
182,2581.95552,0,78201422.14,0.003921569,0.003921569
183,2582.018016,0,78201482.13,0.003921569,0.003921569
184,2582.080512,0,78201542.13,0.003921569,0.003921569
185,2582.143008,0,78201612.14,0.003921569,0.003921569
186,2582.205504,0,78201672.14,0.003921569,0.003921569
187,2582.268,0,78201732.13,0.003922285,0.003921569
188,2582.330528,0,78201792.15,0.003921569,0.003921569
189,2582.393024,0,78201862.14,0.003868574,0.003921569
190,2582.45552,0,78201922.15,0.003921569,0.003921569
191,2582.518016,0,78201982.14,0.003921569,0.003921569
192,2582.580512,0,78202042.15,0.003921569,0.003921569
193,2582.643008,2,78202112.15,0.010059583,0.027558824
194,2582.705504,1,78202172.13,0.021379567,0.018571078
195,2582.768,0,78202232.13,0.003921569,0.003921569
196,2582.830528,0,78202292.15,0.003921569,0.003921569
197,2582.892992,0,78202362.15,0.003921569,0.003921569
198,2582.95552,0,78202422.14,0.003921569,0.003921569
199,2583.018016,0,78202482.15,0.003868574,0.003921569
200,2583.080512,0,78202542.16,0.003921569,0.003921569
201,2583.143008,0,78202612.15,0.003921569,0.003921569
202,2583.205504,0,78202672.15,0.003921569,0.003921569
203,2583.268,0,78202732.15,0.003922285,0.003921569
204,2583.330496,0,78202792.15,0.003921569,0.003921569
205,2583.392992,0,78202862.16,0.003921569,0.003921569
206,2583.45552,0,78202922.15,0.003921569,0.003921569
207,2583.518016,0,78202982.15,0.003921569,0.003921569
208,2583.580512,0,78203042.15,0.003921569,0.003921569
209,2583.643008,2,78203112.16,0.010033802,0.027563725
210,2583.705504,1,78203172.15,0.021300792,0.018523284
211,2583.768,0,78203232.16,0.003921569,0.003921569
212,2583.830496,0,78203292.15,0.003921569,0.003921569
213,2583.893024,0,78203362.15,0.003921569,0.003921569
214,2583.95552,0,78203422.15,0.003921569,0.003921569
215,2584.018016,0,78203482.16,0.003921569,0.003921569
216,2584.080512,0,78203542.15,0.003921569,0.003921569
217,2584.143008,0,78203612.17,0.003921569,0.003921569
218,2584.205504,0,78203672.17,0.003921569,0.003921569
219,2584.268,0,78203732.16,0.003868574,0.003921569
220,2584.330496,0,78203792.17,0.003921569,0.003921569
221,2584.393024,0,78203862.17,0.003921569,0.003921569
222,2584.45552,0,78203922.17,0.003921569,0.003921569
223,2584.518016,0,78203982.16,0.003921569,0.003921569
224,2584.580512,0,78204042.16,0.003921569,0.003921569
225,2584.643008,2,78204112.17,0.010045976,0.027650123
226,2584.705504,1,78204172.17,0.021318695,0.018555147
227,2584.768,0,78204232.17,0.003921569,0.003921569
228,2584.830528,0,78204292.17,0.003921569,0.003921569
229,2584.893024,0,78204362.16,0.003868574,0.003921569
230,2584.95552,0,78204422.17,0.003921569,0.003921569
231,2585.018016,0,78204482.17,0.003921569,0.003921569
232,2585.080512,0,78204542.17,0.003921569,0.003921569
233,2585.143008,0,78204612.18,0.003921569,0.003921569
234,2585.205504,0,78204672.18,0.003921569,0.003921569
235,2585.268,0,78204732.18,0.003922285,0.003921569
236,2585.330528,0,78204792.18,0.003921569,0.003921569
237,2585.392992,0,78204862.18,0.003921569,0.003921569
238,2585.45552,0,78204922.18,0.003921569,0.003921569
