FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,Region0R,Region1G
9196,1669.8392,0,77289310.25,0.003921569,0.003921569
9197,1669.901728,0,77289380.25,0.003921569,0.003921569
9198,1669.964224,0,77289440.25,0.003921569,0.003921569
9199,1670.02672,0,77289500.25,0.003868574,0.003921569
9200,1670.089216,0,77289560.24,0.003921569,0.003921569
9201,1670.151712,2,77289630.25,0.01590398,0.054057598
9202,1670.214208,1,77289690.25,0.027421619,0.035472426
9203,1670.276704,0,77289750.25,0.003921569,0.003921569
9204,1670.339232,0,77289810.25,0.003921569,0.003921569
9205,1670.401728,0,77289880.26,0.003921569,0.003921569
9206,1670.464224,0,77289940.26,0.003921569,0.003921569
9207,1670.52672,0,77290000.26,0.003921569,0.003921569
9208,1670.589216,0,77290060.25,0.003921569,0.003921569
9209,1670.651712,0,77290130.26,0.003868574,0.003921569
9210,1670.714208,0,77290190.26,0.003921569,0.003921569
9211,1670.776704,0,77290250.26,0.003922285,0.003921569
9212,1670.839232,0,77290310.26,0.003921569,0.003921569
9213,1670.901728,0,77290380.26,0.003921569,0.003921569
9214,1670.964224,0,77290440.26,0.003921569,0.003921569
9215,1671.02672,0,77290500.26,0.003921569,0.003921569
9216,1671.089216,0,77290560.26,0.003921569,0.003921569
9217,1671.151712,2,77290630.26,0.0159448,0.054202819
9218,1671.214208,1,77290690.27,0.02738796,0.0355
9219,1671.276704,0,77290750.27,0.003868574,0.003921569
9220,1671.339232,0,77290810.27,0.003921569,0.003921569
9221,1671.401696,0,77290880.27,0.003921569,0.003921569
9222,1671.464224,0,77290940.27,0.003921569,0.003921569
9223,1671.52672,0,77291000.27,0.003921569,0.003921569
9224,1671.589216,0,77291060.26,0.003921569,0.003921569
9225,1671.651712,0,77291130.27,0.003921569,0.003921569
9226,1671.714208,0,77291190.27,0.003921569,0.003921569
9227,1671.776704,0,77291250.26,0.003922285,0.003921569
9228,1671.8392,0,77291310.26,0.003921569,0.003921569
9229,1671.901728,0,77291380.27,0.003868574,0.003921569
9230,1671.964224,0,77291440.28,0.003921569,0.003921569
9231,1672.02672,0,77291500.28,0.003921569,0.003921569
9232,1672.089216,0,77291560.27,0.003921569,0.003921569
9233,1672.151712,2,77291630.28,0.015906129,0.054002451
9234,1672.214208,1,77291690.28,0.027427348,0.035480392
9235,1672.276704,0,77291750.28,0.003921569,0.003921569
9236,1672.339232,0,77291810.28,0.003921569,0.003921569
9237,1672.401728,0,77291880.28,0.003921569,0.003921569
9238,1672.464224,0,77291940.27,0.003921569,0.003921569
9239,1672.52672,0,77292000.27,0.003868574,0.003921569
9240,1672.589216,0,77292060.28,0.003921569,0.003921569
9241,1672.651712,0,77292130.28,0.003921569,0.003921569
9242,1672.714208,0,77292190.29,0.003921569,0.003921569
9243,1672.776704,0,77292250.29,0.003922285,0.003921569
9244,1672.839232,0,77292310.29,0.003921569,0.003921569
9245,1672.901728,0,77292380.29,0.003921569,0.003921569
9246,1672.964224,0,77292440.29,0.003921569,0.003921569
9247,1673.02672,0,77292500.29,0.003921569,0.003921569
9248,1673.089216,0,77292560.28,0.003921569,0.003921569
9249,1673.151712,2,77292630.29,0.015798708,0.053721814
9250,1673.214208,1,77292690.29,0.027367908,0.035280025
9251,1673.276704,0,77292750.29,0.003921569,0.003921569
9252,1673.339232,0,77292810.29,0.003921569,0.003921569
9253,1673.401696,0,77292880.3,0.003921569,0.003921569
9254,1673.464224,0,77292940.3,0.003921569,0.003921569
9255,1673.52672,0,77293000.3,0.003921569,0.003921569
9256,1673.589216,0,77293060.29,0.003921569,0.003921569
9257,1673.651712,0,77293130.3,0.003921569,0.003921569
9258,1673.714208,0,77293190.3,0.003921569,0.003921569
9259,1673.776704,0,77293250.3,0.003868574,0.003921569
9260,1673.839232,0,77293310.29,0.003921569,0.003921569
9261,1673.901696,0,77293380.3,0.003921569,0.003921569
9262,1673.964224,0,77293440.3,0.003921569,0.003921569
9263,1674.02672,0,77293500.3,0.003921569,0.003921569
9264,1674.089216,0,77293560.3,0.003921569,0.003921569
9265,1674.151712,2,77293630.3,0.015909709,0.053914828
9266,1674.214208,1,77293690.31,0.027443819,0.035494485
9267,1674.276704,0,77293750.31,0.003921569,0.003921569
9268,1674.3392,0,77293810.3,0.003921569,0.003921569
9269,1674.401728,0,77293880.31,0.003868574,0.003921569
9270,1674.464224,0,77293940.3,0.003921569,0.003921569
9271,1674.52672,0,77294000.3,0.003921569,0.003921569
9272,1674.589216,0,77294060.31,0.003921569,0.003921569
9273,1674.651712,0,77294130.31,0.003921569,0.003921569
9274,1674.714208,0,77294190.31,0.003921569,0.003921569
9275,1674.776704,0,77294250.31,0.003922285,0.003921569
9276,1674.8392,0,77294310.31,0.003921569,0.003921569
9277,1674.901728,0,77294380.31,0.003921569,0.003921569
9278,1674.964224,0,77294440.32,0.003921569,0.003921569
9279,1675.02672,0,77294500.32,0.003868574,0.003921569
9280,1675.089216,0,77294560.32,0.003921569,0.003921569
9281,1675.151712,2,77294630.31,0.015919019,0.053901348
9282,1675.214208,1,77294690.32,0.02742878,0.035436887
9283,1675.276704,0,77294750.32,0.003921569,0.003921569
9284,1675.339232,0,77294810.31,0.003921569,0.003921569
9285,1675.401728,0,77294880.32,0.003921569,0.003921569
9286,1675.464224,0,77294940.32,0.003921569,0.003921569
9287,1675.52672,0,77295000.32,0.003921569,0.003921569
9288,1675.589216,0,77295060.32,0.003921569,0.003921569
9289,1675.651712,0,77295130.32,0.003868574,0.003921569
9290,1675.714208,0,77295190.33,0.003921569,0.003921569
9291,1675.776704,0,77295250.33,0.003921569,0.003921569
9292,1675.839232,0,77295310.32,0.003921569,0.003921569
9293,1675.901728,0,77295380.33,0.003921569,0.003921569
9294,1675.964224,0,77295440.33,0.003921569,0.003921569
9295,1676.02672,0,77295500.33,0.003921569,0.003921569
9296,1676.089216,0,77295560.33,0.003921569,0.003921569
9297,1676.151712,2,77295630.32,0.015928329,0.054083946
9298,1676.214208,1,77295690.33,0.027397986,0.035431985
9299,1676.276704,0,77295750.33,0.003868574,0.003921569
9300,1676.339232,0,77295810.33,0.003921569,0.003921569
9301,1676.401728,0,77295880.33,0.003921569,0.003921569
9302,1676.464224,0,77295940.34,0.003921569,0.003921569
9303,1676.52672,0,77296000.34,0.003921569,0.003921569
9304,1676.589216,0,77296060.34,0.003921569,0.003921569
9305,1676.651712,0,77296130.34,0.003921569,0.003921569
9306,1676.714208,0,77296190.33,0.003921569,0.003921569
9307,1676.776704,0,77296250.34,0.003921569,0.003921569
9308,1676.839232,0,77296310.33,0.003921569,0.003921569
9309,1676.901696,0,77296380.34,0.003868574,0.003921569
9310,1676.964224,0,77296440.34,0.003921569,0.003921569
9311,1677.02672,0,77296500.34,0.003921569,0.003921569
9312,1677.089216,0,77296560.34,0.003921569,0.003921569
9313,1677.151712,2,77296630.33,0.015920451,0.054109681
9314,1677.214208,1,77296690.35,0.027388676,0.035451593
9315,1677.276704,0,77296750.35,0.003921569,0.003921569
9316,1677.3392,0,77296810.34,0.003921569,0.003921569
9317,1677.401696,0,77296880.35,0.003921569,0.003921569
9318,1677.464224,0,77296940.35,0.003921569,0.003921569
9319,1677.52672,0,77297000.35,0.003868574,0.003921569
9320,1677.589216,0,77297060.34,0.003921569,0.003921569
9321,1677.651712,0,77297130.35,0.003921569,0.003921569
9322,1677.714208,0,77297190.35,0.003921569,0.003921569
9323,1677.776704,0,77297250.35,0.003921569,0.003921569
9324,1677.8392,0,77297310.35,0.003921569,0.003921569
9325,1677.901728,0,77297380.35,0.003921569,0.003921569
9326,1677.964224,0,77297440.35,0.003921569,0.003921569
9327,1678.02672,0,77297500.36,0.003921569,0.003921569
9328,1678.089216,0,77297560.35,0.003921569,0.003921569
9329,1678.151712,2,77297630.35,0.015860296,0.054014706
9330,1678.214208,1,77297690.35,0.027377218,0.035400735
9331,1678.276704,0,77297750.36,0.003921569,0.003921569
9332,1678.3392,0,77297810.36,0.003921569,0.003921569
9333,1678.401728,0,77297880.36,0.003921569,0.003921569
9334,1678.464224,0,77297940.36,0.003921569,0.003921569
9335,1678.52672,0,77298000.36,0.003921569,0.003921569
9336,1678.589216,0,77298060.36,0.003921569,0.003921569
9337,1678.651712,0,77298130.35,0.003921569,0.003921569
9338,1678.714208,0,77298190.36,0.003921569,0.003921569
9339,1678.776704,0,77298250.37,0.003868574,0.003921569
9340,1678.839232,0,77298310.37,0.003921569,0.003921569
9341,1678.901728,0,77298380.37,0.003921569,0.003921569
9342,1678.964224,0,77298440.37,0.003921569,0.003921569
9343,1679.02672,0,77298500.37,0.003921569,0.003921569
9344,1679.089216,0,77298560.36,0.003921569,0.003921569
9345,1679.151712,2,77298630.36,0.01590398,0.0540625
9346,1679.214208,1,77298690.37,0.027418754,0.035424632
9347,1679.276704,0,77298750.38,0.003921569,0.003921569
9348,1679.339232,0,77298810.37,0.003921569,0.003921569
9349,1679.401728,0,77298880.38,0.003868574,0.003921569
9350,1679.464224,0,77298940.38,0.003921569,0.003921569
9351,1679.52672,0,77299000.38,0.003921569,0.003921569
9352,1679.589216,0,77299060.37,0.003921569,0.003921569
9353,1679.651712,0,77299130.38,0.003921569,0.003921569
9354,1679.714208,0,77299190.38,0.003921569,0.003921569
9355,1679.776704,0,77299250.38,0.003921569,0.003921569
9356,1679.839232,0,77299310.38,0.003921569,0.003921569
9357,1679.901728,0,77299380.38,0.003921569,0.003921569
9358,1679.964224,0,77299440.38,0.003921569,0.003921569
9359,1680.02672,0,77299500.39,0.003868574,0.003921569
9360,1680.089216,0,77299560.38,0.003921569,0.003921569
9361,1680.151712,2,77299630.37,0.015890374,0.053949755
9362,1680.214208,1,77299690.37,0.027367908,0.035417279
9363,1680.276704,0,77299750.37,0.003921569,0.003921569
9364,1680.339232,0,77299810.39,0.003921569,0.003921569
9365,1680.401696,0,77299880.38,0.003921569,0.003921569
9366,1680.464224,0,77299940.38,0.003921569,0.003921569
9367,1680.52672,0,77300000.39,0.003921569,0.003921569
9368,1680.589216,0,77300060.38,0.003921569,0.003921569
9369,1680.651712,0,77300130.39,0.003868574,0.003921569
9370,1680.714208,0,77300190.39,0.003921569,0.003921569
9371,1680.776704,0,77300250.4,0.003924433,0.003921569
9372,1680.8392,0,77300310.39,0.003921569,0.003921569
9373,1680.901696,0,77300380.39,0.003921569,0.003921569
9374,1680.964224,0,77300440.39,0.003921569,0.003921569
9375,1681.02672,0,77300500.4,0.003921569,0.003921569
9376,1681.089216,0,77300560.39,0.003921569,0.003921569
9377,1681.151712,2,77300630.39,0.015839528,0.053758578
9378,1681.214208,1,77300690.4,0.027430212,0.035314338
9379,1681.276704,0,77300750.4,0.003868574,0.003921569
9380,1681.3392,0,77300810.39,0.003921569,0.003921569
9381,1681.401728,0,77300880.39,0.003921569,0.003921569
9382,1681.464224,0,77300940.39,0.003921569,0.003921569
9383,1681.52672,0,77301000.4,0.003921569,0.003921569
9384,1681.589216,0,77301060.4,0.003921569,0.003921569
9385,1681.651712,0,77301130.39,0.003921569,0.003921569
9386,1681.714208,0,77301190.4,0.003921569,0.003921569
9387,1681.776704,0,77301250.41,0.003921569,0.003921569
9388,1681.839232,0,77301310.41,0.003921569,0.003921569
9389,1681.901728,0,77301380.4,0.003868574,0.003921569
9390,1681.964224,0,77301440.41,0.003921569,0.003921569
9391,1682.02672,0,77301500.41,0.003921569,0.003921569
9392,1682.089216,0,77301560.4,0.003921569,0.003921569
9393,1682.151712,2,77301630.4,0.015914722,0.054123775
9394,1682.214208,1,77301690.41,0.027393689,0.035404412
9395,1682.276704,0,77301750.41,0.003921569,0.003921569
9396,1682.339232,0,77301810.41,0.003921569,0.003921569
9397,1682.401728,0,77301880.41,0.003921569,0.003921569
9398,1682.464224,0,77301940.42,0.003921569,0.003921569
9399,1682.52672,0,77302000.42,0.003868574,0.003921569
9400,1682.589216,0,77302060.41,0.003921569,0.003921569
9401,1682.651712,0,77302130.42,0.003921569,0.003921569
9402,1682.714208,0,77302190.42,0.003921569,0.003921569
9403,1682.776704,0,77302250.42,0.003922285,0.003921569
9404,1682.839232,0,77302310.41,0.003921569,0.003921569
9405,1682.901696,0,77302380.41,0.003921569,0.003921569
9406,1682.964224,0,77302440.41,0.003921569,0.003921569
9407,1683.02672,0,77302500.42,0.003921569,0.003921569
9408,1683.089216,0,77302560.42,0.003921569,0.003921569
9409,1683.151712,2,77302630.43,0.015807302,0.05385723
9410,1683.214208,1,77302690.42,0.027388676,0.035419118
9411,1683.276704,0,77302750.43,0.003921569,0.003921569
9412,1683.339232,0,77302810.42,0.003921569,0.003921569
9413,1683.401696,0,77302880.43,0.003921569,0.003921569
9414,1683.464224,0,77302940.43,0.003921569,0.003921569
9415,1683.52672,0,77303000.43,0.003921569,0.003921569
9416,1683.589216,0,77303060.42,0.003921569,0.003921569
9417,1683.651712,0,77303130.43,0.003921569,0.003921569
9418,1683.714208,0,77303190.43,0.003921569,0.003921569
9419,1683.776704,0,77303250.43,0.003868574,0.003921569
9420,1683.8392,0,77303310.43,0.003921569,0.003921569
9421,1683.901728,0,77303380.43,0.003921569,0.003921569
9422,1683.964224,0,77303440.43,0.003921569,0.003921569
9423,1684.02672,0,77303500.44,0.003921569,0.003921569
9424,1684.089216,0,77303560.43,0.003921569,0.003921569
9425,1684.151712,2,77303630.44,0.015901832,0.053990809
9426,1684.214208,1,77303690.44,0.02750111,0.035418505
9427,1684.276704,0,77303750.44,0.003921569,0.003921569
9428,1684.3392,0,77303810.44,0.003921569,0.003921569
9429,1684.401728,0,77303880.43,0.003868574,0.003921569
9430,1684.464224,0,77303940.44,0.003921569,0.003921569
9431,1684.52672,0,77304000.44,0.003921569,0.003921569
9432,1684.589216,0,77304060.44,0.003921569,0.003921569
9433,1684.651712,0,77304130.44,0.003921569,0.003921569
9434,1684.714208,0,77304190.44,0.003921569,0.003921569
9435,1684.776704,0,77304250.45,0.003922285,0.003921569
9436,1684.839232,0,77304310.44,0.003921569,0.003921569
9437,1684.901728,0,77304380.44,0.003921569,0.003921569
9438,1684.964224,0,77304440.43,0.003921569,0.003921569
9439,1685.02672,0,77304500.43,0.003868574,0.003921569
9440,1685.089216,0,77304560.45,0.003921569,0.003921569
9441,1685.151712,2,77304630.44,0.015947665,0.053905637
9442,1685.214208,1,77304690.45,0.027400851,0.035420956
9443,1685.276704,0,77304750.45,0.003921569,0.003921569
9444,1685.339232,0,77304810.45,0.003921569,0.003921569
9445,1685.401728,0,77304880.45,0.003921569,0.003921569
9446,1685.464224,0,77304940.45,0.003921569,0.003921569
9447,1685.52672,0,77305000.45,0.003921569,0.003921569
9448,1685.589216,0,77305060.46,0.003921569,0.003921569
9449,1685.651712,0,77305130.45,0.003868574,0.003921569
9450,1685.714208,0,77305190.46,0.003921569,0.003921569
9451,1685.776704,0,77305250.46,0.003921569,0.003921569
9452,1685.839232,0,77305310.45,0.003921569,0.003921569
9453,1685.901696,0,77305380.46,0.003921569,0.003921569
9454,1685.964224,0,77305440.46,0.003921569,0.003921569
9455,1686.02672,0,77305500.46,0.003921569,0.003921569
